symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after
OPENUSDT,2026-02-02T01:29:59.999000+00:00,2026-02-02T03:19:59.999000+00:00,0.15663132,0.1531229407142857,-1.038,-415.19,stop_loss,1,64.1,22,-1.1316,0.2031,0.04,0.0013785714285714334,9576.63
MUSDT,2026-02-02T11:44:59.999000+00:00,2026-02-02T14:54:59.999000+00:00,1.39957986,1.4778972185714285,2.5535,978.14,vol_trail,1,66.3,38,-0.5623,3.9295,0.04,0.012164285714285707,10546.84
MUSDT,2026-02-02T23:39:59.999000+00:00,2026-02-03T00:04:59.999000+00:00,1.5248049,1.502985057142857,-1.0604,-447.37,stop_loss,1,63.7,5,-0.4949,0.0,0.04,0.008485714285714303,10085.83
SIRENUSDT,2026-02-06T01:54:59.999000+00:00,2026-02-06T03:24:59.999000+00:00,0.091258248,0.08837053664285716,-1.0265,-413.9,stop_loss,1,61.0,18,-1.0204,0.0,0.04,0.0011407142857142855,9660.22
HBARUSDT,2026-02-06T01:49:59.999000+00:00,2026-02-06T03:44:59.999000+00:00,0.08082616200000001,0.08083740071428572,-0.0101,-4.08,vol_trail,1,55.8,23,-0.5789,0.4704,0.04,0.0009949999999999998,9656.15
BERAUSDT,2026-02-06T05:54:59.999000+00:00,2026-02-06T06:29:59.999000+00:00,0.39377874,0.3945282214285714,0.0807,31.16,vol_trail,9,84.0,7,-0.0705,0.6489,0.04,0.0028357142857142865,9668.19
MUSDT,2026-02-06T06:24:59.999000+00:00,2026-02-06T06:59:59.999000+00:00,1.5997198799999999,1.5697288485714285,-1.0457,-403.48,stop_loss,2,69.3,7,-1.165,0.0,0.04,0.01174285714285715,9264.72
HBARUSDT,2026-02-06T09:29:59.999000+00:00,2026-02-06T12:09:59.999000+00:00,0.083956788,0.08468877314285715,0.4693,173.91,vol_trail,1,65.7,32,-0.514,1.17,0.04,0.0005914285714285741,9429.16
BERAUSDT,2026-02-06T14:34:59.999000+00:00,2026-02-06T14:39:59.999000+00:00,0.4075815,0.41017866214285714,0.3784,142.74,vol_trail,9,84.2,1,0.0,0.5647,0.04,0.002549999999999993,9561.04
HBARUSDT,2026-02-06T15:34:59.999000+00:00,2026-02-06T17:59:59.999000+00:00,0.090728142,0.09478675314285714,1.7167,656.55,vol_trail,1,61.1,29,-0.1197,2.7872,0.04,0.0009357142857142878,10202.69
BERAUSDT,2026-02-06T17:44:59.999000+00:00,2026-02-06T18:29:59.999000+00:00,0.43778754,0.5638800585714286,13.7636,5260.11,vol_trail,2,69.3,9,-0.5359,10.5219,0.04,0.003657142857142851,15462.8
MUSDT,2026-02-10T00:49:59.999000+00:00,2026-02-10T04:04:59.999000+00:00,1.46119218,1.4381480271428573,-1.0546,-652.3,stop_loss,2,67.6,39,-0.9927,1.4423,0.04,0.00898571428571428,14792.4
KAITOUSDT,2026-02-10T22:39:59.999000+00:00,2026-02-10T23:09:59.999000+00:00,0.30786156000000003,0.30439982214285716,-1.0777,-637.67,stop_loss,3,72.9,6,-0.9583,0.0,0.04,0.0013357142857142892,14130.18
BERAUSDT,2026-02-11T15:19:59.999000+00:00,2026-02-11T15:24:59.999000+00:00,0.5571114,0.5820157164285714,1.4791,835.98,vol_trail,8,81.7,1,0.0,2.1188,0.04,0.00666428571428571,14957.66
BERAUSDT,2026-02-11T19:04:59.999000+00:00,2026-02-11T19:34:59.999000+00:00,0.6683336400000001,0.6833954364285715,0.4246,254.03,vol_trail,9,83.2,6,0.0,0.8086,0.04,0.013900000000000015,15206.51
KITEUSDT,2026-02-13T02:49:59.999000+00:00,2026-02-13T05:39:59.999000+00:00,0.201000192,0.20449087935714286,0.7209,437.8,vol_trail,8,81.5,34,-0.6406,1.6715,0.04,0.0018857142857142842,15607.78
UNIUSDT,2026-02-13T01:49:59.999000+00:00,2026-02-13T07:44:59.999000+00:00,3.2786556,3.292912714285715,0.3542,215.43,vol_trail,1,59.2,71,-0.7208,1.3861,0.04,0.01442857142857133,15823.2
UNIUSDT,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:29:59.999000+00:00,3.3436686,3.3562214785714284,0.3914,247.52,vol_trail,9,82.8,5,-0.1772,0.7443,0.04,0.011285714285714375,16024.43
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.9627,1899.03,vol_trail,2,68.6,46,0.0,3.7478,0.04,2.0257142857142867,17889.35
