symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after
ZKUSDT,2026-02-01T01:29:59.999000+00:00,2026-02-01T01:49:59.999000+00:00,0.02390478,0.0255273935,1.9034,761.38,vol_trail,8,80.8,4,0.0,3.0008,0.04,0.0003385714285714291,10756.29
ZKUSDT,2026-02-01T10:09:59.999000+00:00,2026-02-01T11:14:59.999000+00:00,0.031046208000000002,0.028539648071428572,-1.0099,-434.52,stop_loss,3,71.1,13,-0.9621,0.0,0.04,0.000997857142857143,10319.36
OPENUSDT,2026-02-02T01:29:59.999000+00:00,2026-02-02T03:19:59.999000+00:00,0.15663132,0.1531229407142857,-1.038,-428.45,stop_loss,1,64.1,22,-1.1316,0.2031,0.04,0.0013785714285714334,9882.47
MUSDT,2026-02-02T11:44:59.999000+00:00,2026-02-02T14:54:59.999000+00:00,1.39957986,1.4778972185714285,2.5535,1009.38,vol_trail,1,66.3,38,-0.5623,3.9295,0.04,0.012164285714285707,10883.66
MUSDT,2026-02-02T23:39:59.999000+00:00,2026-02-03T00:04:59.999000+00:00,1.5248049,1.502985057142857,-1.0604,-461.65,stop_loss,1,63.7,5,-0.4949,0.0,0.04,0.008485714285714303,10407.93
SIRENUSDT,2026-02-06T01:54:59.999000+00:00,2026-02-06T03:24:59.999000+00:00,0.091258248,0.08837053664285716,-1.0265,-427.12,stop_loss,1,61.0,18,-1.0204,0.0,0.04,0.0011407142857142855,9968.73
HBARUSDT,2026-02-06T01:49:59.999000+00:00,2026-02-06T03:44:59.999000+00:00,0.08082616200000001,0.08083740071428572,-0.0101,-4.21,vol_trail,1,55.8,23,-0.5789,0.4704,0.04,0.0009949999999999998,9964.53
BERAUSDT,2026-02-06T05:54:59.999000+00:00,2026-02-06T06:29:59.999000+00:00,0.39377874,0.3945282214285714,0.0807,32.16,vol_trail,9,84.0,7,-0.0705,0.6489,0.04,0.0028357142857142865,9976.96
MUSDT,2026-02-06T06:24:59.999000+00:00,2026-02-06T06:59:59.999000+00:00,1.5997198799999999,1.5697288485714285,-1.0457,-416.36,stop_loss,2,69.3,7,-1.165,0.0,0.04,0.01174285714285715,9560.59
HBARUSDT,2026-02-06T09:29:59.999000+00:00,2026-02-06T12:09:59.999000+00:00,0.083956788,0.08468877314285715,0.4693,179.47,vol_trail,1,65.7,32,-0.514,1.17,0.04,0.0005914285714285741,9730.29
BERAUSDT,2026-02-06T14:34:59.999000+00:00,2026-02-06T14:39:59.999000+00:00,0.4075815,0.41017866214285714,0.3784,147.29,vol_trail,9,84.2,1,0.0,0.5647,0.04,0.002549999999999993,9866.39
